algorithm_name,data_type,input_size,average_time,std_deviation,min_time,max_time,memory_usage,metadata
bubble_sort,random,100,0.00027008,8.763e-06,0.0002599,0.0002781,0.0,
selection_sort,random,100,0.00013644,8.452e-06,0.0001297,0.0001481,0.0,
insertion_sort,random,100,0.00017958,3.1329e-05,0.0001311,0.0002101,0.0,
bubble_sort,random,250,0.00170168,3.0941e-05,0.0016664,0.0017363,0.0,
selection_sort,random,250,0.00083398,5.8371e-05,0.0007807,0.0009335,0.0,
insertion_sort,random,250,0.00072466,4.3939e-05,0.0006982,0.0008017,0.0,
bubble_sort,random,500,0.00810182,0.000315674,0.0078372,0.0085586,0.0,
selection_sort,random,500,0.00396816,0.000340863,0.0036945,0.0045154,0.0,
insertion_sort,random,500,0.00342422,0.000214018,0.0032826,0.0037966,0.0,
bubble_sort,random,1000,0.04008102,0.002566911,0.0369859,0.0427553,0.0,
selection_sort,random,1000,0.02252752,0.005274039,0.016245,0.0295948,0.0,
insertion_sort,random,1000,0.01514528,0.001718801,0.0138294,0.0172614,0.0,
bubble_sort,sorted,100,3.46e-06,8.9e-08,3.4e-06,3.6e-06,0.0,
selection_sort,sorted,100,0.00011904,4.403e-06,0.0001163,0.0001268,0.0,
insertion_sort,sorted,100,1.056e-05,5.59e-07,9.9e-06,1.12e-05,0.0,
bubble_sort,sorted,250,7.72e-06,1.92e-07,7.5e-06,8e-06,0.0,
selection_sort,sorted,250,0.00069208,1.3845e-05,0.0006776,0.0007092,0.0,
insertion_sort,sorted,250,1.39e-05,1.22e-07,1.38e-05,1.41e-05,0.0,
bubble_sort,sorted,500,1.89e-05,1e-07,1.88e-05,1.9e-05,0.0,
selection_sort,sorted,500,0.00370108,0.000209949,0.0034498,0.003936,0.0,
insertion_sort,sorted,500,4.196e-05,1.126e-05,3.28e-05,5.55e-05,0.0,
bubble_sort,sorted,1000,4.232e-05,8.79e-07,4.16e-05,4.38e-05,0.0,
selection_sort,sorted,1000,0.01510282,0.000463371,0.0145795,0.015683,0.0,
insertion_sort,sorted,1000,7.428e-05,6.085e-06,6.97e-05,8.41e-05,0.0,
bubble_sort,reverse,100,0.0003482,1.4665e-05,0.0003305,0.0003675,0.0,
selection_sort,reverse,100,0.00015438,3.794e-05,0.0001202,0.0001964,0.0,
insertion_sort,reverse,100,0.00024124,2.232e-06,0.0002376,0.0002431,0.0,
bubble_sort,reverse,250,0.0020825,7.4067e-05,0.0019767,0.0021777,0.0,
selection_sort,reverse,250,0.00071628,1.362e-05,0.0007056,0.0007379,0.0,
insertion_sort,reverse,250,0.00181352,0.000531926,0.0014793,0.0027054,0.0,
bubble_sort,reverse,500,0.00959426,0.000379865,0.0091429,0.0099954,0.0,
selection_sort,reverse,500,0.00395466,0.000231648,0.0037115,0.0043133,0.0,
insertion_sort,reverse,500,0.00667468,0.000380095,0.0064329,0.0073464,0.0,
bubble_sort,reverse,1000,0.04256928,0.00053119,0.0420098,0.0434473,0.0,
selection_sort,reverse,1000,0.01640758,0.001254109,0.015404,0.0185516,0.0,
insertion_sort,reverse,1000,0.02957654,0.001879499,0.0280818,0.0324968,0.0,
bubble_sort,nearly_sorted,100,0.0001578,1.321e-06,0.0001566,0.0001599,0.0,
selection_sort,nearly_sorted,100,0.00011684,4.829e-06,0.0001136,0.0001254,0.0,
insertion_sort,nearly_sorted,100,3.086e-05,7.776e-06,2.28e-05,3.87e-05,0.0,
bubble_sort,nearly_sorted,250,0.00089848,0.000108697,0.0008408,0.0010923,0.0,
selection_sort,nearly_sorted,250,0.0008159,0.000150251,0.0007284,0.0010825,0.0,
insertion_sort,nearly_sorted,250,0.0001008,2.866e-06,9.7e-05,0.000104,0.0,
bubble_sort,nearly_sorted,500,0.00468412,0.000397451,0.0042223,0.0052961,0.0,
selection_sort,nearly_sorted,500,0.00407766,0.000463361,0.0035117,0.0047622,0.0,
insertion_sort,nearly_sorted,500,0.00045318,3.7712e-05,0.0004234,0.0005132,0.0,
bubble_sort,nearly_sorted,1000,0.0210868,0.000884513,0.0202761,0.0220626,0.0,
selection_sort,nearly_sorted,1000,0.01499048,0.000934787,0.0145385,0.0166598,0.0,
insertion_sort,nearly_sorted,1000,0.00208152,0.000158841,0.0019705,0.0023391,0.0,
